,date,open,close,high,low,volume,code
0,2005-04-08,984.66,1003.45,1003.7,979.53,14762500.0,hs300
1,2005-04-11,1003.88,995.42,1008.73,992.77,15936100.0,hs300
2,2005-04-12,993.71,978.7,993.71,978.2,10226200.0,hs300
3,2005-04-13,987.95,1000.9,1006.5,987.95,16071700.0,hs300
4,2005-04-14,1004.64,986.97,1006.42,985.58,12945700.0,hs300
5,2005-04-15,982.61,974.08,982.61,971.93,10409000.0,hs300
6,2005-04-18,970.91,963.77,970.91,958.65,8598400.0,hs300
7,2005-04-19,962.92,965.89,968.87,957.91,9212620.0,hs300
8,2005-04-20,964.15,950.87,964.15,946.2,8850700.0,hs300
9,2005-04-21,948.86,943.98,955.55,938.59,9946150.0,hs300
10,2005-04-22,942.91,939.1,947.91,934.96,10691900.0,hs300
11,2005-04-25,935.99,930.07,935.99,920.16,11470500.0,hs300
12,2005-04-26,928.43,937.08,939.7,924.66,11690500.0,hs300
13,2005-04-27,938.57,926.6,938.91,925.9,10780600.0,hs300
14,2005-04-28,923.53,942.07,945.5,914.83,14343500.0,hs300
15,2005-04-29,940.81,932.4,942.45,929.81,11235400.0,hs300
16,2005-05-09,934.65,909.17,937.39,909.17,8529110.0,hs300
17,2005-05-10,905.54,913.08,913.39,892.31,10494300.0,hs300
18,2005-05-11,911.84,901.85,917.22,900.44,9042050.0,hs300
19,2005-05-12,899.97,885.82,900.06,883.51,10228700.0,hs300
20,2005-05-13,883.51,887.54,898.51,875.58,11244900.0,hs300
21,2005-05-16,885.39,875.27,885.39,869.33,8224289.0,hs300
22,2005-05-17,873.08,881.46,888.28,868.21,8772270.0,hs300
23,2005-05-18,881.14,883.2,890.4,871.82,7878610.0,hs300
24,2005-05-19,882.84,884.17,888.02,871.29,8149579.0,hs300
25,2005-05-20,883.51,882.76,891.02,879.18,7226679.0,hs300
26,2005-05-23,880.28,863.34,880.28,862.1,7279800.0,hs300
27,2005-05-24,861.2,868.46,871.77,855.59,9206929.0,hs300
28,2005-05-25,867.66,868.45,876.3,861.66,7238560.0,hs300
29,2005-05-26,867.76,857.33,872.84,854.96,6622789.0,hs300
30,2005-05-27,855.59,849.51,864.96,848.4,7749979.0,hs300
31,2005-05-30,847.63,855.61,858.46,842.1,6971579.0,hs300
32,2005-05-31,856.56,855.95,863.2,853.29,7047820.0,hs300
33,2005-06-01,855.21,837.53,857.66,836.04,7902300.0,hs300
34,2005-06-02,835.47,818.38,835.49,812.99,9508660.0,hs300
35,2005-06-03,816.55,818.03,823.86,807.97,7936060.0,hs300
36,2005-06-06,816.73,839.0,839.15,807.78,9009189.0,hs300
37,2005-06-07,841.58,837.28,858.09,835.18,13067100.0,hs300
38,2005-06-08,848.54,905.77,908.83,844.47,32907800.0,hs300
39,2005-06-09,907.57,912.6,925.36,895.04,33141800.0,hs300
40,2005-06-10,911.94,894.56,911.94,889.1,22391500.0,hs300
41,2005-06-13,895.0,892.96,900.18,877.69,15628000.0,hs300
42,2005-06-14,895.39,883.54,905.41,882.86,14343600.0,hs300
43,2005-06-15,881.21,866.83,881.25,865.14,11454100.0,hs300
44,2005-06-16,866.66,879.24,879.49,861.83,11049700.0,hs300
45,2005-06-17,883.6,880.34,888.08,876.04,14963000.0,hs300
46,2005-06-20,881.62,906.26,906.48,872.56,18992100.0,hs300
47,2005-06-21,906.31,896.17,906.31,894.39,12774800.0,hs300
48,2005-06-22,894.77,900.65,901.24,891.93,10478100.0,hs300
49,2005-06-23,900.06,893.57,904.9,892.83,9509310.0,hs300
50,2005-06-24,892.06,898.3,898.67,888.4,8918739.0,hs300
51,2005-06-27,904.21,916.04,920.65,904.21,16545400.0,hs300
52,2005-06-28,913.48,903.72,913.48,901.21,10402200.0,hs300
53,2005-06-29,906.75,898.9,907.57,898.08,10806700.0,hs300
54,2005-06-30,897.1,878.69,897.1,876.88,10855500.0,hs300
55,2005-07-01,875.93,859.49,875.93,858.37,10094600.0,hs300
56,2005-07-04,855.32,855.93,856.1,842.81,8840279.0,hs300
57,2005-07-05,853.68,849.68,856.74,845.36,7992689.0,hs300
58,2005-07-06,850.25,842.56,854.45,838.61,6898310.0,hs300
59,2005-07-07,841.75,844.73,848.02,839.28,5962460.0,hs300
60,2005-07-08,842.62,829.49,842.62,827.23,7221000.0,hs300
61,2005-07-11,837.86,824.1,850.66,822.52,8439010.0,hs300
62,2005-07-12,821.91,851.82,854.29,818.86,14989900.0,hs300
63,2005-07-13,850.47,846.23,851.95,841.86,9398839.0,hs300
64,2005-07-14,844.94,849.59,856.09,843.18,9361970.0,hs300
65,2005-07-15,849.87,841.0,854.6,837.78,8889560.0,hs300
66,2005-07-18,839.22,832.99,840.01,829.68,8500000.0,hs300
67,2005-07-19,831.5,835.61,840.14,829.28,7891820.0,hs300
68,2005-07-20,835.3,842.64,844.71,832.14,8526470.0,hs300
69,2005-07-21,842.75,843.99,843.99,835.76,8366100.0,hs300
70,2005-07-22,847.54,859.46,867.16,842.99,21451400.0,hs300
71,2005-07-25,858.33,856.86,860.95,854.28,11816100.0,hs300
72,2005-07-26,856.19,876.48,880.03,856.19,21826800.0,hs300
73,2005-07-27,876.94,894.01,894.03,876.04,20409500.0,hs300
74,2005-07-28,893.88,890.89,901.0,888.5,20622500.0,hs300
75,2005-07-29,889.41,888.16,892.29,883.38,13397400.0,hs300
76,2005-08-01,887.72,891.61,897.28,885.85,11808300.0,hs300
77,2005-08-02,892.13,903.6,903.65,888.4,14292500.0,hs300
78,2005-08-03,905.18,909.57,919.28,903.76,25786300.0,hs300
79,2005-08-04,907.42,904.15,909.83,901.62,14519300.0,hs300
80,2005-08-05,904.04,923.8,923.81,903.94,19123800.0,hs300
81,2005-08-08,926.57,927.47,933.15,923.57,21608900.0,hs300
82,2005-08-09,926.97,933.09,933.39,919.11,19532900.0,hs300
83,2005-08-10,933.26,940.37,940.37,926.28,21515800.0,hs300
84,2005-08-11,940.78,953.99,953.99,939.39,27073700.0,hs300
85,2005-08-12,954.72,938.32,959.27,933.98,29168100.0,hs300
86,2005-08-15,937.71,954.5,954.5,936.11,20430800.0,hs300
87,2005-08-16,955.27,945.06,959.34,939.92,23861800.0,hs300
88,2005-08-17,943.41,953.01,953.34,930.33,21457800.0,hs300
89,2005-08-18,954.16,920.67,956.84,919.12,31855300.0,hs300
90,2005-08-19,918.09,923.04,927.32,910.08,22242700.0,hs300
91,2005-08-22,923.11,931.67,933.35,919.22,16031000.0,hs300
92,2005-08-23,931.81,923.41,931.81,915.03,15406500.0,hs300
93,2005-08-24,923.56,930.65,935.23,923.56,15959700.0,hs300
94,2005-08-25,930.97,930.12,933.2,920.61,16292100.0,hs300
95,2005-08-26,930.25,928.26,930.33,921.84,15429800.0,hs300
96,2005-08-29,928.34,917.37,928.34,913.77,15462300.0,hs300
97,2005-08-30,916.09,914.88,920.21,912.84,12438200.0,hs300
98,2005-08-31,915.12,927.92,928.21,911.51,14623600.0,hs300
99,2005-09-01,928.52,944.56,944.95,926.06,22306400.0,hs300
100,2005-09-02,945.98,947.87,947.92,941.31,18614400.0,hs300
101,2005-09-05,949.08,952.72,952.98,944.63,17843300.0,hs300
102,2005-09-06,953.41,936.61,956.3,934.97,21222300.0,hs300
103,2005-09-07,934.99,952.76,952.9,932.65,19608500.0,hs300
104,2005-09-08,954.27,955.28,958.87,947.71,22424400.0,hs300
105,2005-09-09,955.11,949.07,959.9,946.02,16219300.0,hs300
106,2005-09-12,949.78,949.51,952.55,945.4,11672600.0,hs300
107,2005-09-13,949.58,963.77,963.92,948.13,16579400.0,hs300
108,2005-09-14,964.97,970.19,970.26,961.64,19958300.0,hs300
109,2005-09-15,970.58,969.6,970.96,965.66,16377700.0,hs300
110,2005-09-16,969.62,967.49,970.37,964.28,13978600.0,hs300
111,2005-09-19,967.44,971.14,971.99,964.26,14737400.0,hs300
112,2005-09-20,971.38,961.92,971.65,957.12,18636600.0,hs300
113,2005-09-21,961.37,944.41,961.37,943.82,18541900.0,hs300
114,2005-09-22,942.73,923.27,942.73,914.23,18115500.0,hs300
115,2005-09-23,921.51,916.15,927.42,914.81,11547600.0,hs300
116,2005-09-26,915.84,918.48,919.65,913.61,8836239.0,hs300
117,2005-09-27,918.87,904.21,921.13,903.39,11086100.0,hs300
118,2005-09-28,903.33,903.72,910.33,901.38,8850310.0,hs300
119,2005-09-29,904.28,915.97,915.97,904.28,11939000.0,hs300
