,date,open,close,high,low,volume,code
0,2000-01-04,1368.69,1406.37,1407.52,1361.21,9034020.0,sh
1,2000-01-05,1407.83,1409.68,1433.78,1398.32,10580000.0,sh
2,2000-01-06,1406.04,1463.94,1463.95,1400.25,13480500.0,sh
3,2000-01-07,1477.15,1516.6,1522.82,1477.15,34515700.0,sh
4,2000-01-10,1531.71,1545.11,1546.72,1506.4,31253500.0,sh
5,2000-01-11,1547.68,1479.78,1547.71,1468.76,21924600.0,sh
6,2000-01-12,1473.76,1438.02,1489.28,1435.0,15222900.0,sh
7,2000-01-13,1437.45,1424.44,1444.07,1418.81,8612920.0,sh
8,2000-01-14,1426.22,1408.85,1433.47,1401.71,7447010.0,sh
9,2000-01-17,1408.99,1433.33,1433.38,1402.66,7649829.0,sh
10,2000-01-18,1436.89,1426.62,1443.59,1421.64,7767129.0,sh
11,2000-01-19,1425.87,1440.72,1443.67,1425.14,8006589.0,sh
12,2000-01-20,1443.09,1466.86,1466.9,1443.09,10070800.0,sh
13,2000-01-21,1471.91,1465.08,1476.46,1458.93,15051000.0,sh
14,2000-01-24,1465.86,1477.34,1477.41,1449.47,16241500.0,sh
15,2000-01-25,1483.03,1476.51,1490.46,1467.44,13636000.0,sh
16,2000-01-26,1477.3,1481.12,1482.46,1469.98,10384400.0,sh
17,2000-01-27,1490.45,1506.77,1506.92,1485.23,18981800.0,sh
18,2000-01-28,1514.56,1535.0,1536.35,1510.74,29389000.0,sh
19,2000-02-14,1591.44,1673.94,1674.13,1587.82,43580800.0,sh
20,2000-02-15,1709.22,1670.67,1746.44,1663.01,52543400.0,sh
21,2000-02-16,1674.94,1693.11,1695.88,1649.7,37435500.0,sh
22,2000-02-17,1734.27,1640.65,1770.88,1615.63,51439100.0,sh
23,2000-02-18,1623.96,1668.09,1668.16,1583.58,26799700.0,sh
24,2000-02-21,1681.36,1677.14,1697.01,1652.48,31052400.0,sh
25,2000-02-22,1681.3,1632.29,1687.51,1627.47,24251800.0,sh
26,2000-02-23,1618.01,1594.93,1630.55,1586.63,19186100.0,sh
27,2000-02-24,1593.95,1634.31,1634.32,1593.93,13932900.0,sh
28,2000-02-25,1639.92,1631.58,1650.36,1618.18,17058100.0,sh
29,2000-02-28,1639.8,1704.85,1704.88,1639.7,26127900.0,sh
30,2000-02-29,1728.14,1714.58,1733.14,1678.35,28680700.0,sh
