,date,open,close,high,low,volume,code
0,2004-01-02,997.0,1011.35,1021.57,993.89,8064650.0,sz50
1,2004-01-05,1008.28,1060.8,1060.9,1008.28,14468200.0,sz50
2,2004-01-06,1059.14,1075.66,1086.69,1059.09,16991300.0,sz50
3,2004-01-07,1075.56,1086.3,1095.84,1070.98,13729400.0,sz50
4,2004-01-08,1087.68,1102.66,1108.29,1082.51,10780400.0,sz50
5,2004-01-09,1105.77,1081.79,1115.46,1079.07,13467400.0,sz50
6,2004-01-12,1081.81,1116.8,1117.51,1079.77,10233900.0,sz50
7,2004-01-13,1120.15,1102.34,1123.66,1089.63,9837189.0,sz50
8,2004-01-14,1101.44,1079.72,1101.67,1076.87,7120500.0,sz50
9,2004-01-15,1078.53,1073.98,1088.67,1070.73,6179210.0,sz50
10,2004-01-16,1076.64,1083.65,1087.82,1067.85,7174170.0,sz50
11,2004-01-29,1086.66,1100.6,1101.03,1084.45,5791230.0,sz50
12,2004-01-30,1102.17,1067.55,1103.7,1066.44,7761120.0,sz50
13,2004-02-02,1107.49,1091.73,1116.31,1069.97,15432900.0,sz50
14,2004-02-03,1091.86,1102.95,1103.24,1084.39,8411110.0,sz50
15,2004-02-04,1104.74,1128.44,1130.14,1104.74,10535000.0,sz50
16,2004-02-05,1135.62,1127.9,1136.42,1118.17,9774310.0,sz50
17,2004-02-06,1125.49,1122.08,1139.09,1108.91,11140300.0,sz50
18,2004-02-09,1122.29,1134.61,1134.91,1122.28,8598300.0,sz50
19,2004-02-10,1137.72,1120.96,1141.99,1116.93,8662779.0,sz50
20,2004-02-11,1121.81,1110.06,1123.77,1100.24,9246320.0,sz50
21,2004-02-12,1110.83,1094.11,1122.48,1092.29,9581600.0,sz50
22,2004-02-13,1094.0,1096.36,1105.82,1088.86,6904820.0,sz50
23,2004-02-16,1098.86,1123.75,1124.35,1098.86,7623410.0,sz50
24,2004-02-17,1127.1,1123.62,1132.71,1121.28,8815900.0,sz50
25,2004-02-18,1123.7,1129.28,1136.53,1119.63,8093710.0,sz50
26,2004-02-19,1130.4,1122.38,1138.08,1119.67,7130800.0,sz50
27,2004-02-20,1122.93,1124.66,1125.37,1112.94,5988760.0,sz50
28,2004-02-23,1126.23,1093.14,1129.52,1092.01,8802510.0,sz50
29,2004-02-24,1090.25,1093.1,1095.94,1072.33,8449379.0,sz50
30,2004-02-25,1094.43,1070.36,1104.35,1067.13,8064050.0,sz50
31,2004-02-26,1068.12,1079.9,1080.23,1061.2,8100889.0,sz50
32,2004-02-27,1081.71,1088.72,1090.89,1079.93,7293070.0,sz50
33,2004-03-01,1089.65,1094.24,1095.23,1076.08,6441710.0,sz50
34,2004-03-02,1096.1,1093.39,1099.71,1086.72,5577319.0,sz50
35,2004-03-03,1093.36,1072.64,1093.74,1067.94,5214819.0,sz50
36,2004-03-04,1070.9,1078.35,1079.27,1061.89,4810430.0,sz50
37,2004-03-05,1080.34,1071.58,1083.14,1070.3,3365030.0,sz50
38,2004-03-08,1070.11,1057.1,1075.75,1056.04,4599850.0,sz50
39,2004-03-09,1057.36,1061.16,1075.22,1056.88,6918020.0,sz50
40,2004-03-10,1062.98,1091.1,1091.35,1062.98,6113969.0,sz50
41,2004-03-11,1092.74,1095.56,1102.22,1086.55,5761789.0,sz50
